service_id,date,exception_type
39361-_24R04-LAMJV,20210426,1
39361-_24R05-LAMJV,20210426,1
39361-_24R06-LAMJV,20210426,1
39361-_24R07-LAMJV,20210426,1
39361-_24R08-LAMJV,20210426,1
39361-_24R09-LAMJV,20210426,1
39361-_24R10-LAMJV,20210426,1
39361-_24R11-LAMJV,20210426,1
39364-_25R01-LAMJV,20210426,1
39364-_25R02-LAMJV,20210426,1
39364-_25R03-LAMJV,20210426,1
39364-_25R04-LAMJV,20210426,1
39364-_25R05-LAMJV,20210426,1
39364-_25R06-LAMJV,20210426,1
39364-_25R07-LAMJV,20210426,1
39364-_25R08-LAMJV,20210426,1
39364-_25R09-LAMJV,20210426,1
39364-_25R10-LAMJV,20210426,1
39364-_25R11-LAMJV,20210426,1
39364-_25R12-LAMJV,20210426,1
39364-_25R13-LAMJV,20210426,1
39364-_25R14-LAMJV,20210426,1
39364-_25R15-LAMJV,20210426,1
39364-_25R16-LAMJV,20210426,1
39364-_25R17-LAMJV,20210426,1
39364-_25R18-LAMJV,20210426,1
39364-_25R19-LAMJV,20210426,1
39364-_25R20-LAMJV,20210426,1
39364-_25R21-LAMJV,20210426,1
39364-_25R22-LAMJV,20210426,1
39364-_25R23-LAMJV,20210426,1
39364-_25R24-LAMJV,20210426,1
39364-_25R25-LAMJV,20210426,1
39364-_25R26-LAMJV,20210426,1
39364-_25R27-LAMJV,20210426,1
39364-_25R28-LAMJV,20210426,1
39364-_25R29-LAMJV,20210426,1
39364-_25R30-LAMJV,20210426,1
39364-_25R31-LAMJV,20210426,1
39364-_25R32-LAMJV,20210426,1
39364-_25R33-LAMJV,20210426,1
39364-_25R34-LAMJV,20210426,1
39364-_25R35-LAMJV,20210426,1
39364-_25R36-LAMJV,20210426,1
39364-_25R37-LAMJV,20210426,1
39364-_25R38-LAMJV,20210426,1
39364-_25R39-LAMJV,20210426,1
39364-_25R40-LAMJV,20210426,1
39364-_25R41-LAMJV,20210426,1
39364-_25R42-LAMJV,20210426,1
39367-_26R01-LAMJV,20210426,1
39367-_26R02-LAMJV,20210426,1
39367-_26R03-LAMJV,20210426,1
39367-_26R04-LAMJV,20210426,1
39367-_26R05-LAMJV,20210426,1
39367-_26R06-LAMJV,20210426,1
39367-_26R07-LAMJV,20210426,1
39367-_26R08-LAMJV,20210426,1
39367-_26R09-LAMJV,20210426,1
39367-_26R10-LAMJV,20210426,1
39367-_26R11-LAMJV,20210426,1
39367-_26R12-LAMJV,20210426,1
39370-_27R01-LAMJV,20210426,1
39370-_27R02-LAMJV,20210426,1
39370-_27R03-LAMJV,20210426,1
39370-_27R04-LAMJV,20210426,1
39370-_27R05-LAMJV,20210426,1
39370-_27R06-LAMJV,20210426,1
39370-_27R07-LAMJV,20210426,1
39370-_27R08-LAMJV,20210426,1
39370-_27R09-LAMJV,20210426,1
39370-_27R10-LAMJV,20210426,1
39370-_27R11-LAMJV,20210426,1
39373-_28R01-LAMJV,20210426,1
39373-_28R02-LAMJV,20210426,1
39373-_28R03-LAMJV,20210426,1
39373-_28R04-LAMJV,20210426,1
39373-_28R05-LAMJV,20210426,1
39373-_28R06-LAMJV,20210426,1
39373-_28R07-LAMJV,20210426,1
39373-_28R08-LAMJV,20210426,1
39373-_28R09-LAMJV,20210426,1
39373-_28R10-LAMJV,20210426,1
39373-_28R11-LAMJV,20210426,1
39373-_28R12-LAMJV,20210426,1
39373-_28R13-LAMJV,20210426,1
39373-_28R14-LAMJV,20210426,1
39376-_29R01-LAMJV,20210426,1
39376-_29R02-LAMJV,20210426,1
39376-_29R03-LAMJV,20210426,1
39376-_29R04-LAMJV,20210426,1
39376-_29R05-LAMJV,20210426,1
39376-_29R06-LAMJV,20210426,1
39376-_29R07-LAMJV,20210426,1
39376-_29R08-LAMJV,20210426,1
39376-_29R09-LAMJV,20210426,1
39376-_29R10-LAMJV,20210426,1
39376-_29R11-LAMJV,20210426,1
39376-_29R12-LAMJV,20210426,1
39376-_29R13-LAMJV,20210426,1
39376-_29R14-LAMJV,20210426,1
39381-_62R01-LAMJV,20210426,1
39381-_62R02-LAMJV,20210426,1
39381-_62R03-LAMJV,20210426,1
39381-_62R04-LAMJV,20210426,1
39381-_62R05-LAMJV,20210426,1
39381-_62R06-LAMJV,20210426,1
39381-_62R07-LAMJV,20210426,1
39381-_62R08-LAMJV,20210426,1
39381-_62R09-LAMJV,20210426,1
39381-_62R10-LAMJV,20210426,1
39381-_62R11-LAMJV,20210426,1
39381-_62R12-LAMJV,20210426,1
39381-_62R13-LAMJV,20210426,1
39384-_64R01-LAMJV,20210426,1
39384-_64R02-LAMJV,20210426,1
39384-_64R03-LAMJV,20210426,1
39384-_64R04-LAMJV,20210426,1
39384-_64R05-LAMJV,20210426,1
39384-_64R06-LAMJV,20210426,1
39384-_64R07-LAMJV,20210426,1
39384-_64R08-LAMJV,20210426,1
39387-_65R01-LAMJV,20210426,1
39387-_65R03-LAMJV,20210426,1
39387-_65R04-LAMJV,20210426,1
39387-_65R06-LAMJV,20210426,1
39387-_65R07-LAMJV,20210426,1
39387-_65R09-LAMJV,20210426,1
39387-_65R11-LAMJV,20210426,1
39387-_65R12-LAMJV,20210426,1
39387-_65R14-LAMJV,20210426,1
39390-_69R01-LAMJV,20210426,1
39390-_69R02-LAMJV,20210426,1
39390-_69R03-LAMJV,20210426,1
39390-_69R04-LAMJV,20210426,1
39390-_69R05-LAMJV,20210426,1
39390-_69R06-LAMJV,20210426,1
39390-_69R07-LAMJV,20210426,1
39390-_69R08-LAMJV,20210426,1
39390-_69R09-LAMJV,20210426,1
39390-_69R10-LAMJV,20210426,1
39390-_69R11-LAMJV,20210426,1
39390-_69R12-LAMJV,20210426,1
39390-_69R13-LAMJV,20210426,1
39390-_69R14-LAMJV,20210426,1
39390-_69R15-LAMJV,20210426,1
39390-_69R16-LAMJV,20210426,1
39390-_69R17-LAMJV,20210426,1
39390-_69R18-LAMJV,20210426,1
39390-_69R19-LAMJV,20210426,1
39390-_69R20-LAMJV,20210426,1
39390-_69R21-LAMJV,20210426,1
39390-_69R22-LAMJV,20210426,1
39390-_69R23-LAMJV,20210426,1
39390-_69R24-LAMJV,20210426,1
39390-_69R25-LAMJV,20210426,1
39390-_69R26-LAMJV,20210426,1
39390-_69R27-LAMJV,20210426,1
39390-_69R28-LAMJV,20210426,1
